nombre_negocio;nombre_contacto;categoria;telefono_movil;telefono_fijo;email;direccion;municipio;provincia;rating_google;zona_id;notas
HANAMI Cocktail Garden;;bar;691484522;;email;Av.la Rambla 9;San Juan de Alicante;Alicante;4.5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;Cocktail bar
LA CASETA coffee-bar;;cafeteria;;;email;Av.la Rambla 2;San Juan de Alicante;Alicante;4.5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;Sin telefono. Coffee bar
Ohana Cocktails & Food;;bar;601980786;;email;C/Dr.San Miguel 3;San Juan de Alicante;Alicante;4.5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;Cocktails y comida
Cerveceria L'embolic;;bar;;966389031;email;C/Dr.Gadea 46;San Juan de Alicante;Alicante;4.9;e6bcf795-4389-44e0-a973-d5ac62fd8c63;Cerveceria
Clinica Vet. 7 Vidas;;veterinaria;;965941275;email;C/Dr.Van Der Hofstad 2;San Juan de Alicante;Alicante;4.7;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Medivet San Juan;;veterinaria;;965940664;email;C/la Moleta 24;San Juan de Alicante;Alicante;4.5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Vet Wecan De Carreres;;veterinaria;;965658359;email;Av.Mutxamel 1;San Juan de Alicante;Alicante;4.9;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Optica Luz;;optica;;965652702;email;C/del Mercado 8;San Juan de Alicante;Alicante;4.9;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Optica Lloixa;;optica;;965659873;email;C/Jaume I 9;San Juan de Alicante;Alicante;4.3;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Centro Optico Diagonal;;optica;;;email;Av.de la Diagonal;San Juan de Alicante;Alicante;3.7;e6bcf795-4389-44e0-a973-d5ac62fd8c63;Sin telefono
